CBSA,Name,TotalCases,TotalDeaths,Population2010,WeightedDensity,Date,Cases,Deaths
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-04,10,0
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-05,20,0
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-06,42,0
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-07,78,0
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-08,94,0
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-09,129,0
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-10,145,1
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-11,180,1
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-12,242,1
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-13,291,1
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-14,379,3
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-15,446,3
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-16,571,6
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-17,866,10
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-18,1254,12
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-19,2093,17
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-20,3154,25
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-21,4672,35
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-22,6881,42
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-23,9705,53
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-24,12215,75
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-25,14618,108
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-26,18963,132
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-27,23236,168
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-28,27704,223
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-29,32057,230
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-30,37130,309
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-31,42370,402
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-04-01,47941,537
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-04-02,54235,796
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-04-03,62457,955
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-04-04,72049,1635
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-04-05,78049,1700
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-04-06,85289,2048
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-04-07,92451,2482
19820,"Detroit-Warren-Dearborn, MI",114053,4331,4296250.0,3800,2020-03-10,2,0
19820,"Detroit-Warren-Dearborn, MI",114053,4331,4296250.0,3800,2020-03-11,2,0
19820,"Detroit-Warren-Dearborn, MI",114053,4331,4296250.0,3800,2020-03-12,5,0
19820,"Detroit-Warren-Dearborn, MI",114053,4331,4296250.0,3800,2020-03-13,14,0
