CBSA,Name,TotalCases,TotalDeaths,Population2010,WeightedDensity,Date,Day,Cases,Deaths,DeathsPerMillion,deathGrowthRate,deathGrowthRatePerMill,deathGrowthRatePerMillSmoothed,deathsSmoothed,deathsSmoothedPerMillion
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-04,-13,10,0,0.0,-0.1818,0.0,-0.0096,0.0909,0.0048
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-05,-12,20,0,0.0,-0.1071,0.0,-0.0057,-0.0909,-0.0048
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-06,-11,42,0,0.0,0.0271,0.0,0.0014,-0.1234,-0.0065
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-07,-10,78,0,0.0,0.131,0.0,0.0069,-0.0368,-0.0019
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-08,-9,94,0,0.0,0.2045,0.0,0.0108,0.1385,0.0073
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-09,-8,129,0,0.0,0.1537,0.0265,0.0081,0.3723,0.0197
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-10,-7,145,1,0.0529181474266778,0.2143,0.0265,0.0113,0.4459,0.0236
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-11,-6,180,1,0.0529181474266778,0.2944,0.0,0.0156,0.8009,0.0424
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-12,-5,242,1,0.0529181474266778,0.29,0.0,0.0153,1.0346,0.0548
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-13,-4,291,1,0.0529181474266778,0.6667,0.0529,0.0353,1.381,0.0731
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-14,-3,379,3,0.1587544422800334,1.2489,0.0529,0.0661,2.368,0.1253
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-15,-2,446,3,0.1587544422800334,1.7316,0.0794,0.0916,3.8788,0.2053
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-16,-1,571,6,0.3175088845600668,2.342,0.1852,0.1239,5.8312,0.3086
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-17,0,866,10,0.5291814742667781,3.4957,0.1588,0.185,8.5628,0.4531
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-18,1,1254,12,0.6350177691201336,4.9221,0.1852,0.2605,12.8225,0.6785
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-19,2,2093,17,0.8996085062535227,5.645,0.344,0.2987,18.4069,0.9741
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-20,3,3154,25,1.322953685666945,6.2792,0.4763,0.3323,24.1126,1.276
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-21,4,4672,35,1.8521351599337232,9.2771,0.4498,0.4909,30.9654,1.6386
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-22,5,6881,42,2.222562191920468,13.381,0.4763,0.7081,42.6667,2.2578
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-23,6,9705,53,2.8046618136139236,16.6299,0.8731,0.88,57.7273,3.0548
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-24,7,12215,75,3.9688610570008356,23.7641,1.4552,1.2576,75.9264,4.0179
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-25,8,14618,108,5.715159922081203,28.9307,1.5082,1.531,105.2554,5.5699
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-26,9,18963,132,6.985195460321471,29.8074,1.5875,1.5774,133.7879,7.0798
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-27,10,23236,168,8.890248767681872,32.9675,2.4078,1.7446,164.8701,8.7246
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-28,11,27704,223,11.80074687614915,36.4177,1.6405,1.9272,199.7229,10.569
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-29,12,32057,230,12.171173908135895,57.4286,2.2755,3.039,237.7056,12.5789
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-30,13,37130,309,16.351707554843443,71.7208,4.551,3.7953,314.5801,16.647
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-03-31,14,42370,402,21.27309526552448,127.1212,6.0327,6.727,381.1472,20.1696
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-04-01,15,47941,537,28.41704516812598,214.7576,10.4249,11.3646,568.8225,30.101
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-04-02,16,54235,796,42.12284535163553,257.9069,11.0599,13.648,810.6623,42.8987
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-04-03,17,62457,955,50.5368307924773,303.2673,22.1992,16.0483,1084.6364,57.3969
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-04-04,18,72049,1635,86.5211710426182,341.4116,19.712,18.0669,1417.197,74.9954
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-04-05,19,78049,1700,89.96085062535226,349.5934,10.9276,18.4998,1767.4596,93.5307
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-04-06,20,85289,2048,108.37636592983614,338.7348,20.691,17.9252,2116.3838,111.9951
35620,"New York-Newark-Jersey City, NY-NJ-PA",732016,12010,18897109.0,31251,2020-04-07,21,92451,2482,131.34284191301433,328.5455,22.9665,17.386,2444.9293,129.3811
19820,"Detroit-Warren-Dearborn, MI",114053,4331,4296250.0,3800,2020-03-10,-10,2,0,0.0,0.1515,0.0,0.0353,-0.0707,-0.0165
19820,"Detroit-Warren-Dearborn, MI",114053,4331,4296250.0,3800,2020-03-11,-9,2,0,0.0,0.0758,0.0,0.0176,0.0808,0.0188
19820,"Detroit-Warren-Dearborn, MI",114053,4331,4296250.0,3800,2020-03-12,-8,5,0,0.0,-0.0404,0.0,-0.0094,0.0808,0.0188
19820,"Detroit-Warren-Dearborn, MI",114053,4331,4296250.0,3800,2020-03-13,-7,14,0,0.0,-0.0859,0.0,-0.02,0.0,0.0
19820,"Detroit-Warren-Dearborn, MI",114053,4331,4296250.0,3800,2020-03-14,-6,20,0,0.0,-0.1061,0.0,-0.0247,-0.0909,-0.0212
19820,"Detroit-Warren-Dearborn, MI",114053,4331,4296250.0,3800,2020-03-15,-5,34,0,0.0,0.039,0.0,0.0091,-0.2121,-0.0494
19820,"Detroit-Warren-Dearborn, MI",114053,4331,4296250.0,3800,2020-03-16,-4,35,0,0.0,0.3701,0.0,0.0862,-0.013,-0.003
19820,"Detroit-Warren-Dearborn, MI",114053,4331,4296250.0,3800,2020-03-17,-3,43,0,0.0,0.6558,0.1164,0.1527,0.5281,0.1229
19820,"Detroit-Warren-Dearborn, MI",114053,4331,4296250.0,3800,2020-03-18,-2,58,1,0.23276112889147513,0.7013,0.3491,0.1632,1.2987,0.3023
19820,"Detroit-Warren-Dearborn, MI",114053,4331,4296250.0,3800,2020-03-19,-1,286,3,0.6982833866744254,0.987,0.3491,0.2297,1.9307,0.4494
